,lon,lat,datetime,adt,ugos,vgos,vgosa,err,sla,ugosa,mag
282,-77.79688035,32.64069978,2015-11-09,0.12480000000000001,0.0088,-0.062400000000000004,-0.3523,0.0284,0.12340000000000001,-0.2584,0.06301745789858554
283,-77.46734444,32.39036317,2015-11-10,0.333,0.9805,0.4632,-0.2359,0.023100000000000002,0.013800000000000002,0.197,1.0844051318580155
284,-76.59820515,32.95097026,2015-11-11,0.394,0.8911,1.1627,0.3507,0.0247,-0.034300000000000004,0.24130000000000001,1.4648994846063672
285,-76.08710967,33.47517485,2015-11-12,0.5508000000000001,0.5445,1.0935000000000001,0.30710000000000004,0.0279,0.09140000000000001,-0.031900000000000005,1.2215655938180316
286,-75.4096127,33.78381976,2015-11-13,0.862,0.2767,0.2667,-0.29610000000000003,0.045000000000000005,0.2417,-0.1154,0.3843068825821364
287,-74.68697107,33.90428483,2015-11-14,0.9054000000000001,0.0621,0.0351,-0.0159,0.0304,0.1431,0.0128,0.0713331619935637
288,-74.03459905,33.8551619,2015-11-15,0.9009,-0.0648,0.10010000000000001,0.1902,0.0227,0.1632,-0.0099,0.11924365811228704
289,-73.56791092,33.65399123,2015-11-16,0.8806,-0.222,0.061900000000000004,0.1356,0.050800000000000005,0.20570000000000002,-0.1471,0.23046824076214928
290,-73.40232095,33.31760108,2015-11-17,0.8575,-0.1468,0.0718,0.0941,0.030600000000000002,0.1998,-0.09970000000000001,0.16341811405104395
291,-73.65324342,32.86241591,2015-11-18,0.8952,0.1257,-0.22790000000000002,-0.153,0.024200000000000003,0.22110000000000002,0.1136,0.260266978312655
292,-74.43609261,32.30472815,2015-11-19,0.9556,-0.16670000000000001,0.183,0.1942,0.035500000000000004,0.2485,-0.08710000000000001,0.24754371331140687
293,-75.71885456,31.68386904,2015-11-20,0.6968000000000001,-0.3461,0.2054,0.2374,0.0591,-0.0253,-0.2876,0.402460395567067
294,-77.44859492,31.1579736,2015-11-21,0.6658000000000001,-0.24250000000000002,-0.20950000000000002,-0.252,0.028,-0.0206,-0.2016,0.32046294637602024
295,-78.5789603,31.13181905,2015-11-22,0.8387,0.0,-0.0477,-0.2033,0.0287,0.12240000000000001,-0.1988,0.0477
296,-78.35010134,31.9042796,2015-11-23,0.5674,0.9108,0.6603,0.18100000000000002,0.0516,0.19790000000000002,-0.0915,1.1249678795414562
297,-77.64976947,32.6732118,2015-11-24,0.3703,0.9438000000000001,0.6783,0.21980000000000002,0.0284,0.3139,0.462,1.1622604398326566
298,-77.47858529,33.00831779,2015-11-25,0.1574,0.224,0.3569,0.2214,0.0263,0.1729,0.0902,0.42137110722022697
299,-78.2543784,33.00783598,2015-11-26,0.15380000000000002,-0.30210000000000004,-0.07200000000000001,-0.1158,0.0318,0.1231,-0.1638,0.31056144319602846
300,-78.46170169,33.2665585,2015-11-28,0.2242,-0.2124,-0.1517,-0.1531,0.0327,0.1625,-0.1315,0.2610108235303663
301,-76.88533515,33.50932797,2015-11-29,0.22640000000000002,0.2994,0.11610000000000001,-0.1332,0.048,0.24960000000000002,0.1071,0.32112235985679977
302,-75.95420186,33.69668625,2015-11-30,0.6329,0.4738,0.6267,-0.14780000000000001,0.021500000000000002,0.1544,-0.1003,0.7856458044182506
303,-75.83719586,33.79375876,2015-12-01,0.5282,0.5194,0.8578,-0.0427,0.023100000000000002,0.19970000000000002,-0.1622,1.0027946948403745
304,-76.08229967,33.66343709,2015-12-02,0.4955,0.5913,0.8583000000000001,-0.0341,0.0263,0.1809,-0.0741,1.0422641603739429
305,-76.4125385,33.50267761,2015-12-03,0.34900000000000003,0.5596,0.6505000000000001,-0.1067,0.0412,0.19720000000000001,-0.025500000000000002,0.8580806547172591
306,-76.64258706,33.4493597,2015-12-04,0.39630000000000004,0.7522000000000001,0.38980000000000004,-0.31120000000000003,0.0363,0.2569,0.2439,0.8472006137863689
307,-76.79677146,33.52623628,2015-12-05,0.25020000000000003,0.19110000000000002,0.0166,-0.23270000000000002,0.031900000000000005,0.27340000000000003,-0.0012000000000000001,0.1918196288183251
308,-77.42949677,33.18390119,2015-12-06,0.23750000000000002,0.0603,0.41490000000000005,0.27940000000000004,0.034,0.253,-0.0734,0.41925898917017873
309,-77.79666462,32.5962295,2015-12-07,0.1643,0.3191,0.3865,0.0966,0.0364,0.16290000000000002,0.0519,0.501205606512936
310,-77.74924715,32.38383483,2015-12-08,0.4435,0.6970000000000001,0.8711000000000001,0.23900000000000002,0.0316,0.2449,-0.0781,1.1156272719864821
311,-77.50287745,32.40255799,2015-12-09,0.4685,0.6623,0.7942,0.1621,0.029400000000000003,0.27,-0.11270000000000001,1.0341155302963012
312,-77.23726392,32.50684928,2015-12-10,0.6134000000000001,0.4581,0.47600000000000003,-0.29910000000000003,0.0228,0.3284,-0.27940000000000004,0.6606297071733908
313,-77.12591431,32.55325899,2015-12-11,0.6163000000000001,0.44260000000000005,0.4126,-0.36250000000000004,0.0223,0.33140000000000003,-0.2948,0.6050896793038203
314,-77.28122111,32.39034886,2015-12-12,0.6157,0.1323,0.3755,-0.3235,0.0268,0.2964,-0.6512,0.39812503061224375
315,-77.32151601,32.25717967,2015-12-13,0.6127,0.0341,0.36970000000000003,-0.32930000000000004,0.0286,0.2934,-0.7494000000000001,0.3712693092621581
316,-77.22794827,32.23885716,2015-12-14,0.6096,-0.2222,0.20900000000000002,-0.19920000000000002,0.0241,0.0367,-0.6562,0.30504727502470824
317,-77.07310574,32.31841403,2015-12-15,0.6523,-0.2301,0.2011,-0.4562,0.027800000000000002,0.2051,-0.8961,0.30559322636472164
318,-76.92803864,32.47956524,2015-12-16,0.6955,-0.1272,0.2212,-0.2891,0.0309,0.13870000000000002,-0.5771000000000001,0.25516520138921767
319,-76.86379722,32.70588414,2015-12-17,0.7055,0.1326,0.1942,-0.5562,0.0349,0.2778,-0.5201,0.2351518658229188
320,-76.94609244,32.88759383,2015-12-18,0.6028,0.744,0.38270000000000004,-0.4414,0.0325,0.3342,0.044000000000000004,0.8366572117659657
321,-77.23022607,32.75909671,2015-12-19,0.5732,0.7835000000000001,0.599,-0.0492,0.0388,0.44380000000000003,0.20090000000000002,0.9862419834908673
